Arcade_id,Arcade_nacionalidad,Arcade_tipoSonido,Arcade_cantJugadores,Arcade_capacidad,fkIdSalon,fkIdJuego
1,USA,MONO,2,250,4,3
2,JAPAN,MONO,1,200,12,13
3,CHINA,STEREO,3,250,3,16
4,AREGENTINA,MONO,2,200,5,1
5,USA,MONO,1,200,1,7
6,JAPAN,STEREO,4,200,12,16
7,CHINA,MONO,4,251,11,20
8,AREGENTINA,MONO,2,201,4,5
9,USA,STEREO,2,251,3,18
10,JAPAN,MONO,4,201,9,14
11,CHINA,MONO,2,201,9,14
12,AREGENTINA,STEREO,1,201,12,21
13,USA,MONO,3,252,10,8
14,JAPAN,MONO,3,202,10,9
15,CHINA,STEREO,1,252,11,25
16,AREGENTINA,MONO,4,202,7,6
17,USA,MONO,2,202,3,27
18,JAPAN,STEREO,4,202,12,30
19,CHINA,MONO,4,253,6,12
20,AREGENTINA,MONO,1,203,9,2
21,USA,STEREO,4,253,4,21
22,JAPAN,MONO,4,203,2,26
23,CHINA,MONO,1,203,7,23
24,AREGENTINA,STEREO,2,203,9,7
25,USA,MONO,2,250,5,7
26,JAPAN,MONO,4,200,11,21
27,CHINA,STEREO,2,250,3,7
28,AREGENTINA,MONO,1,200,4,2
29,USA,MONO,2,200,6,30
30,JAPAN,STEREO,3,200,12,23
31,CHINA,MONO,1,251,6,7
32,AREGENTINA,MONO,1,201,9,30
33,USA,STEREO,4,251,10,18
34,JAPAN,MONO,4,201,9,30
35,CHINA,MONO,2,201,12,19
36,AREGENTINA,STEREO,4,201,3,12
37,USA,MONO,4,252,11,25
38,JAPAN,MONO,2,202,9,26
39,CHINA,STEREO,4,252,4,25
40,AREGENTINA,MONO,4,202,10,23
41,USA,MONO,4,202,12,23
42,JAPAN,STEREO,4,202,10,11
43,CHINA,MONO,1,253,6,18
44,AREGENTINA,MONO,3,203,6,8
45,USA,STEREO,1,253,3,4
46,JAPAN,MONO,3,203,1,3
47,CHINA,MONO,4,203,2,17
48,AREGENTINA,STEREO,1,203,10,8
49,USA,MONO,2,250,9,15
50,JAPAN,MONO,1,200,4,22
51,CHINA,STEREO,1,250,7,26
52,AREGENTINA,MONO,4,200,7,6
53,USA,MONO,4,200,3,14
54,JAPAN,STEREO,3,200,2,12
55,CHINA,MONO,4,251,6,6
56,AREGENTINA,MONO,2,201,1,1
57,USA,STEREO,3,251,8,15
58,JAPAN,MONO,2,201,3,5
59,CHINA,MONO,3,201,9,2
60,AREGENTINA,STEREO,3,201,8,17
61,USA,MONO,3,252,4,15
62,JAPAN,MONO,1,202,2,10
63,CHINA,STEREO,3,252,9,26
64,AREGENTINA,MONO,3,202,4,27
65,USA,MONO,3,202,11,5
66,JAPAN,STEREO,1,202,5,27
67,CHINA,MONO,3,253,4,18
68,AREGENTINA,MONO,4,203,8,13
69,USA,STEREO,3,253,1,26
70,JAPAN,MONO,4,203,8,27
71,CHINA,MONO,2,203,9,10
72,AREGENTINA,STEREO,3,203,6,5
73,USA,MONO,4,250,11,30
74,JAPAN,MONO,3,200,8,8
75,CHINA,STEREO,1,250,3,15
76,AREGENTINA,MONO,1,200,7,26
77,USA,MONO,3,200,1,10
78,JAPAN,STEREO,1,200,8,9
79,CHINA,MONO,2,251,4,4
80,AREGENTINA,MONO,3,201,7,25
81,USA,STEREO,3,251,12,18
82,JAPAN,MONO,1,201,11,3
83,CHINA,MONO,3,201,3,8
84,AREGENTINA,STEREO,4,201,11,20
85,USA,MONO,4,252,1,10
86,JAPAN,MONO,3,202,12,23
87,CHINA,STEREO,1,252,8,22
88,AREGENTINA,MONO,4,202,7,19
89,USA,MONO,4,202,11,3
90,JAPAN,STEREO,4,202,3,29
91,CHINA,MONO,2,253,8,10
92,AREGENTINA,MONO,2,203,3,2
93,USA,STEREO,1,253,10,6
94,JAPAN,MONO,2,203,12,14
95,CHINA,MONO,1,203,8,11
96,AREGENTINA,STEREO,1,203,1,23
97,USA,MONO,1,250,12,2
98,JAPAN,MONO,2,200,11,22
99,CHINA,STEREO,4,250,2,1
100,AREGENTINA,MONO,3,200,6,27
101,USA,MONO,1,200,10,12
102,JAPAN,STEREO,3,200,12,16
103,CHINA,MONO,2,251,1,15
104,AREGENTINA,MONO,2,201,4,23
105,USA,STEREO,1,251,9,27
106,JAPAN,MONO,2,201,7,27
107,CHINA,MONO,4,201,11,4
108,AREGENTINA,STEREO,1,201,4,23
109,USA,MONO,1,252,12,3
110,JAPAN,MONO,3,202,3,24
111,CHINA,STEREO,2,252,9,22
112,AREGENTINA,MONO,2,202,11,23
